Player,Pos,PPG,APG,RPG,PPG_norm,APG_norm,RPG_norm,Score,Label
Tierre Brown,PG,2.0,0.6666666666666666,0.3333333333333333,0.05535841022001419,0.04585537918871252,0.01786492374727669,0.04873222038072648,Reserva
Rick Brunson,PG,2.95,2.05,0.925,0.08165365507452094,0.141005291005291,0.04957516339869281,0.10972554845611457,Reserva
Kobe Bryant,SG,23.95384615384616,5.076923076923077,5.523076923076923,0.6630234208658625,0.3492063492063492,0.2960080442433384,0.4640935168775524,All-Star
Greg Buckner,SG,3.0943396226415096,0.8490566037735849,1.9433962264150944,0.0856488610951163,0.05840071877807727,0.10415587618695278,0.07845100718666799,Reserva
Rodney Buford,SF,1.8636363636363635,0.3181818181818182,0.6818181818181818,0.05158397315955868,0.021885521885521883,0.036541889483065956,0.04037955361797887,Reserva
Caron Butler,SF,9.161764705882351,1.8529411764705883,4.794117647058823,0.25359036446374145,0.12745098039215685,0.25693963860053826,0.2295347335973034,Reserva
Mitchell Butler,SG,3.268292682926829,0.7804878048780488,1.7317073170731707,0.0904637435302671,0.0536843463672732,0.09281045751633987,0.07622132746228409,Reserva
Rasual Butler,SF,6.755555555555556,0.5111111111111111,1.3555555555555556,0.18698840785427018,0.03515579071134626,0.07265068990559187,0.11660368314364798,Reserva
Zarko Cabarkapa,PF,4.142857142857143,0.8163265306122449,2.020408163265306,0.11467099259860083,0.056149443904545945,0.10828331332533013,0.10269892065785725,Reserva
Marcus Camby,C,8.63888888888889,1.8333333333333333,10.09722222222222,0.23911757747811688,0.12610229276895943,0.5411583151779229,0.40904049162708467,Role Player
Elden Campbell,C,5.553846153846154,0.6923076923076923,3.2153846153846155,0.15372604684173172,0.047619047619047616,0.17232780291603822,0.1542764005640472,Reserva
Brian Cardinal,PF,9.644736842105264,1.355263157894737,4.171052631578948,0.2669586492846737,0.0932191590086327,0.223546611627107,0.21919170691448422,Reserva
Matt Carroll,SG,1.1875,0.125,0.375,0.03286905606813342,0.008597883597883597,0.020098039215686276,0.020606383709544065,Reserva
Anthony Carter,PG,4.4,2.4,2.2,0.12178850248403122,0.16507936507936508,0.11790849673202616,0.1432399334940979,Reserva
Maurice Carter,SG,4.2,0.4,1.1,0.11625266146202981,0.027513227513227514,0.05895424836601308,0.06929720526330554,Reserva
Vince Carter,SG,22.534246575342465,4.767123287671233,4.780821917808219,0.623730032958379,0.3278973689932594,0.2562270570328588,0.4318963721872272,Role Player
Sam Cassell,PG,19.790123456790123,7.308641975308642,3.345679012345679,0.5477748863128564,0.502710823698478,0.17931090131525865,0.5068196557557874,All-Star
Kelvin Cato,PF,6.057971014492754,1.0434782608695652,6.840579710144928,0.1676798222606227,0.07177363699102829,0.36661930472672166,0.252763635703233,Role Player
Tyson Chandler,PF,6.085714285714285,0.6571428571428571,7.714285714285714,0.16844773395518603,0.045200302343159485,0.41344537815126053,0.2724594413114193,Role Player
Calbert Cheaney,SF,7.632911392405063,1.7215189873417722,3.2911392405063293,0.2112729200168896,0.11841135891768803,0.17638785471994708,0.1804908349431194,Reserva
Doug Christie,SG,10.134146341463415,4.2317073170731705,4.012195121951219,0.2805051152001939,0.29106981546005933,0.21503267973856208,0.27163650821181373,Role Player
Keon Clark,PF,2.0,0.5,3.5,0.05535841022001419,0.03439153439153439,0.18758169934640523,0.11832502340893773,Reserva
Speedy Claxton,PG,10.566666666666666,4.45,2.6,0.29247693399574165,0.30608465608465607,0.13934640522875819,0.2916242686018497,Role Player
Mateen Cleaves,PG,3.75,4.75,1.75,0.10379701916252661,0.3267195767195767,0.09379084967320261,0.21475798946658545,Reserva
Derrick Coleman,C,7.970588235294118,1.3529411764705883,5.647058823529412,0.22061954661211539,0.09305944600062248,0.3026528258362169,0.25708350408542696,Role Player
Bimbo Coles,PG,1.2727272727272727,0.6818181818181818,0.4545454545454545,0.03522807923091812,0.04689754689754689,0.0243612596553773,0.04051947208545546,Reserva
Jason Collier,C,11.3,0.85,5.55,0.3127750177430802,0.058465608465608464,0.2974509803921569,0.278149654404779,Role Player
